"Notes","State","State Code","Year","Year Code",Deaths,Population,Crude Rate
,"Alabama","01","1999","1999",195,4430141,4.402
,"Alabama","01","2000","2000",232,4447100,5.217
,"Alabama","01","2001","2001",253,4467634,5.663
,"Alabama","01","2002","2002",248,4480089,5.536
,"Alabama","01","2003","2003",255,4503491,5.662
,"Alabama","01","2004","2004",327,4530729,7.217
,"Alabama","01","2005","2005",332,4569805,7.265
,"Alabama","01","2006","2006",466,4628981,10.067
,"Alabama","01","2007","2007",554,4672840,11.856
,"Alabama","01","2008","2008",646,4718206,13.692
,"Alabama","01","2009","2009",688,4757938,14.460
,"Alabama","01","2010","2010",585,4779736,12.239
,"Alabama","01","2011","2011",605,4802740,12.597
,"Alabama","01","2012","2012",632,4822023,13.107
,"Alabama","01","2013","2013",648,4833722,13.406
,"Alabama","01","2014","2014",800,4849377,16.497
,"Alabama","01","2015","2015",810,4858979,16.670
,"Alabama","01","2016","2016",855,4863300,17.581
,"Alabama","01","2017","2017",960,4874747,19.693
,"Alabama","01","2018","2018",895,4887871,18.311
"Total","Alabama","01",,,10986,93779449,11.715
,"Alaska","02","1999","1999",56,624779,8.963
,"Alaska","02","2000","2000",54,626932,8.613
,"Alaska","02","2001","2001",72,633714,11.362
,"Alaska","02","2002","2002",85,642337,13.233
,"Alaska","02","2003","2003",86,648414,13.263
,"Alaska","02","2004","2004",92,659286,13.954
,"Alaska","02","2005","2005",85,666946,12.745
,"Alaska","02","2006","2006",85,675302,12.587
,"Alaska","02","2007","2007",75,680300,11.025
,"Alaska","02","2008","2008",132,687455,19.201
,"Alaska","02","2009","2009",133,698895,19.030
,"Alaska","02","2010","2010",84,710231,11.827
,"Alaska","02","2011","2011",107,722718,14.805
,"Alaska","02","2012","2012",132,731449,18.046
,"Alaska","02","2013","2013",110,735132,14.963
,"Alaska","02","2014","2014",127,736732,17.238
,"Alaska","02","2015","2015",127,738432,17.199
,"Alaska","02","2016","2016",138,741894,18.601
,"Alaska","02","2017","2017",158,739795,21.357
,"Alaska","02","2018","2018",119,737438,16.137
"Total","Alaska","02",,,2057,13838181,14.865
,"Arizona","04","1999","1999",557,5023823,11.087
,"Arizona","04","2000","2000",559,5130632,10.895
,"Arizona","04","2001","2001",598,5273477,11.340
,"Arizona","04","2002","2002",667,5396255,12.360
,"Arizona","04","2003","2003",739,5510364,13.411
,"Arizona","04","2004","2004",803,5652404,14.206
,"Arizona","04","2005","2005",849,5839077,14.540
