"Notes","County","County Code","Year","Year Code","Multiple Cause of death","Multiple Cause of death Code",Deaths,Population,Crude Rate
,"Jefferson County, AL","01073","2008","2008","Other opioids","T40.2",19,656510,Unreliable
,"Jefferson County, AL","01073","2008","2008","Methadone","T40.3",24,656510,3.656
,"Jefferson County, AL","01073","2009","2009","Heroin","T40.1",11,658441,Unreliable
,"Jefferson County, AL","01073","2009","2009","Other opioids","T40.2",34,658441,5.164
,"Jefferson County, AL","01073","2009","2009","Methadone","T40.3",19,658441,Unreliable
,"Jefferson County, AL","01073","2009","2009","Cocaine","T40.5",13,658441,Unreliable
,"Jefferson County, AL","01073","2010","2010","Other opioids","T40.2",15,658466,Unreliable
,"Jefferson County, AL","01073","2010","2010","Methadone","T40.3",20,658466,3.037
,"Jefferson County, AL","01073","2010","2010","Other synthetic narcotics","T40.4",10,658466,Unreliable
,"Jefferson County, AL","01073","2011","2011","Heroin","T40.1",10,658931,Unreliable
,"Jefferson County, AL","01073","2011","2011","Other opioids","T40.2",28,658931,4.249
,"Jefferson County, AL","01073","2011","2011","Methadone","T40.3",10,658931,Unreliable
,"Jefferson County, AL","01073","2011","2011","Cocaine","T40.5",11,658931,Unreliable
,"Jefferson County, AL","01073","2012","2012","Heroin","T40.1",28,660009,4.242
,"Jefferson County, AL","01073","2012","2012","Other opioids","T40.2",21,660009,3.182
,"Madison County, AL","01089","2011","2011","Other opioids","T40.2",12,340111,Unreliable
,"Mobile County, AL","01097","2008","2008","Other opioids","T40.2",14,409196,Unreliable
,"Mobile County, AL","01097","2008","2008","Methadone","T40.3",13,409196,Unreliable
,"Mobile County, AL","01097","2008","2008","Cocaine","T40.5",14,409196,Unreliable
,"Mobile County, AL","01097","2009","2009","Other opioids","T40.2",11,411994,Unreliable
,"Mobile County, AL","01097","2009","2009","Methadone","T40.3",13,411994,Unreliable
,"Mobile County, AL","01097","2011","2011","Cocaine","T40.5",10,412577,Unreliable
,"Shelby County, AL","01117","2008","2008","Other opioids","T40.2",10,188534,Unreliable
,"Shelby County, AL","01117","2008","2008","Methadone","T40.3",12,188534,Unreliable
,"Shelby County, AL","01117","2010","2010","Other opioids","T40.2",10,195085,Unreliable
,"Tuscaloosa County, AL","01125","2008","2008","Methadone","T40.3",10,188093,Unreliable
,"Walker County, AL","01127","2010","2010","Other opioids","T40.2",11,67023,Unreliable
,"Walker County, AL","01127","2010","2010","Methadone","T40.3",10,67023,Unreliable
,"Walker County, AL","01127","2011","2011","Methadone","T40.3",17,66661,Unreliable
