"Notes","County","County Code","Year","Year Code",Deaths,Population,Crude Rate
,"Autauga County, AL","01001","2008","2008",Suppressed,53277,Suppressed
,"Autauga County, AL","01001","2009","2009",Suppressed,54135,Suppressed
,"Autauga County, AL","01001","2010","2010",Suppressed,54571,Suppressed
,"Autauga County, AL","01001","2011","2011",Suppressed,55267,Suppressed
,"Autauga County, AL","01001","2012","2012",Suppressed,55514,Suppressed
,"Autauga County, AL","01001","2013","2013",Suppressed,55246,Suppressed
,"Autauga County, AL","01001","2014","2014",Suppressed,55395,Suppressed
,"Autauga County, AL","01001","2015","2015",Suppressed,55347,Suppressed
,"Autauga County, AL","01001","2016","2016",Suppressed,55416,Suppressed
,"Autauga County, AL","01001","2017","2017",Suppressed,55504,Suppressed
,"Baldwin County, AL","01003","2008","2008",27,175827,15.356
,"Baldwin County, AL","01003","2009","2009",32,179406,17.837
,"Baldwin County, AL","01003","2010","2010",26,182265,14.265
,"Baldwin County, AL","01003","2011","2011",24,186717,12.854
,"Baldwin County, AL","01003","2012","2012",34,190790,17.821
,"Baldwin County, AL","01003","2013","2013",22,195540,11.251
,"Baldwin County, AL","01003","2014","2014",38,200111,18.989
,"Baldwin County, AL","01003","2015","2015",43,203709,21.109
,"Baldwin County, AL","01003","2016","2016",32,208563,15.343
,"Baldwin County, AL","01003","2017","2017",27,212628,12.698
,"Barbour County, AL","01005","2008","2008",0,27808,Unreliable
,"Barbour County, AL","01005","2009","2009",Suppressed,27657,Suppressed
,"Barbour County, AL","01005","2010","2010",Suppressed,27457,Suppressed
,"Barbour County, AL","01005","2011","2011",Suppressed,27119,Suppressed
,"Barbour County, AL","01005","2012","2012",0,27201,Unreliable
,"Barbour County, AL","01005","2013","2013",Suppressed,27076,Suppressed
,"Barbour County, AL","01005","2014","2014",Suppressed,26887,Suppressed
,"Barbour County, AL","01005","2015","2015",0,26489,Unreliable
,"Barbour County, AL","01005","2016","2016",Suppressed,25965,Suppressed
,"Barbour County, AL","01005","2017","2017",Suppressed,25270,Suppressed
,"Bibb County, AL","01007","2008","2008",Suppressed,22705,Suppressed
,"Bibb County, AL","01007","2009","2009",Suppressed,22941,Suppressed
,"Bibb County, AL","01007","2010","2010",Suppressed,22915,Suppressed
,"Bibb County, AL","01007","2011","2011",Suppressed,22766,Suppressed
,"Bibb County, AL","01007","2012","2012",Suppressed,22597,Suppressed
,"Bibb County, AL","01007","2013","2013",Suppressed,22512,Suppressed
,"Bibb County, AL","01007","2014","2014",Suppressed,22506,Suppressed
,"Bibb County, AL","01007","2015","2015",Suppressed,22583,Suppressed
,"Bibb County, AL","01007","2016","2016",Suppressed,22643,Suppressed
,"Bibb County, AL","01007","2017","2017",Suppressed,22668,Suppressed
,"Blount County, AL","01009","2008","2008",17,57055,Unreliable
,"Blount County, AL","01009","2009","2009",11,57341,Unreliable
,"Blount County, AL","01009","2010","2010",10,57322,Unreliable
,"Blount County, AL","01009","2011","2011",Suppressed,57677,Suppressed
,"Blount County, AL","01009","2012","2012",17,57826,Unreliable
,"Blount County, AL","01009","2013","2013",13,57872,Unreliable
,"Blount County, AL","01009","2014","2014",12,57719,Unreliable
,"Blount County, AL","01009","2015","2015",11,57673,Unreliable
,"Blount County, AL","01009","2016","2016",14,57704,Unreliable
,"Blount County, AL","01009","2017","2017",18,58013,Unreliable
,"Bullock County, AL","01011","2008","2008",0,10953,Unreliable
,"Bullock County, AL","01011","2009","2009",0,10987,Unreliable
,"Bullock County, AL","01011","2010","2010",0,10914,Unreliable
,"Bullock County, AL","01011","2011","2011",Suppressed,10542,Suppressed
,"Bullock County, AL","01011","2012","2012",Suppressed,10474,Suppressed
,"Bullock County, AL","01011","2013","2013",0,10639,Unreliable
,"Bullock County, AL","01011","2014","2014",Suppressed,10764,Suppressed
,"Bullock County, AL","01011","2015","2015",Suppressed,10696,Suppressed
,"Bullock County, AL","01011","2016","2016",Suppressed,10362,Suppressed
,"Bullock County, AL","01011","2017","2017",0,10309,Unreliable
,"Butler County, AL","01013","2008","2008",Suppressed,20949,Suppressed
,"Butler County, AL","01013","2009","2009",Suppressed,20867,Suppressed
,"Butler County, AL","01013","2010","2010",Suppressed,20947,Suppressed
,"Butler County, AL","01013","2011","2011",Suppressed,20650,Suppressed
,"Butler County, AL","01013","2012","2012",Suppressed,20307,Suppressed
,"Butler County, AL","01013","2013","2013",0,20265,Unreliable
,"Butler County, AL","01013","2014","2014",Suppressed,20296,Suppressed
,"Butler County, AL","01013","2015","2015",Suppressed,20154,Suppressed
,"Butler County, AL","01013","2016","2016",Suppressed,19998,Suppressed
,"Butler County, AL","01013","2017","2017",Suppressed,19825,Suppressed
,"Calhoun County, AL","01015","2008","2008",21,117274,17.907
,"Calhoun County, AL","01015","2009","2009",15,118363,Unreliable
,"Calhoun County, AL","01015","2010","2010",21,118572,17.711
,"Calhoun County, AL","01015","2011","2011",14,117797,Unreliable
,"Calhoun County, AL","01015","2012","2012",Suppressed,117296,Suppressed
,"Calhoun County, AL","01015","2013","2013",Suppressed,116736,Suppressed
,"Calhoun County, AL","01015","2014","2014",19,115916,Unreliable
,"Calhoun County, AL","01015","2015","2015",20,115620,17.298
,"Calhoun County, AL","01015","2016","2016",15,114611,Unreliable
,"Calhoun County, AL","01015","2017","2017",31,114728,27.020
,"Chambers County, AL","01017","2008","2008",Suppressed,34563,Suppressed
,"Chambers County, AL","01017","2009","2009",Suppressed,34384,Suppressed
,"Chambers County, AL","01017","2010","2010",Suppressed,34215,Suppressed
,"Chambers County, AL","01017","2011","2011",Suppressed,33939,Suppressed
