zcta5,state_fips,county_fips_3,county_fips,pop_in_county,zcta_pop,alloc_factor
00601,72,001,72001,18465,18570,0.994345718901454
00601,72,141,72141,105,18570,0.005654281098546042
00602,72,003,72003,41520,41520,1.0
00603,72,005,72005,54689,54689,1.0
00606,72,093,72093,6276,6615,0.9487528344671202
00606,72,121,72121,89,6615,0.01345427059712774
00606,72,153,72153,250,6615,0.03779289493575208
00610,72,003,72003,160,29016,0.005514199062586159
00610,72,011,72011,28856,29016,0.9944858009374138
00612,72,013,72013,66938,67010,0.9989255335024623
00612,72,017,72017,72,67010,0.001074466497537681
00616,72,013,72013,11017,11017,1.0
00617,72,017,72017,24457,24597,0.994308248973452
00617,72,054,72054,140,24597,0.005691751026547953
00622,72,023,72023,7853,7853,1.0
00623,72,023,72023,43061,43061,1.0
00624,72,111,72111,24280,26241,0.9252696162493808
00624,72,113,72113,1961,26241,0.07473038375061926
00627,72,027,72027,35159,35159,1.0
00631,72,001,72001,611,1852,0.3299136069114471
00631,72,081,72081,1241,1852,0.6700863930885529
00637,72,121,72121,25176,25287,0.995610392691897
00637,72,153,72153,111,25287,0.004389607308102977
00638,72,039,72039,18613,18941,0.9826830684757932
00638,72,091,72091,328,18941,0.017316931524206748
00641,72,001,72001,65,31191,0.0020839344682761054
00641,72,141,72141,31126,31191,0.9979160655317239
00646,72,051,72051,38156,38199,0.9988743160815728
00646,72,143,72143,43,38199,0.0011256839184271838
00647,72,055,72055,6103,6172,0.9888204795852236
00647,72,079,72079,69,6172,0.01117952041477641
00650,72,013,72013,226,14998,0.015068675823443126
00650,72,017,72017,287,14998,0.01913588478463795
00650,72,039,72039,169,14998,0.011268169089211895
00650,72,054,72054,12540,14998,0.8361114815308708
00650,72,141,72141,1776,14998,0.11841578877183624
00652,72,013,72013,4715,4715,1.0
00653,72,055,72055,13307,13307,1.0
00656,72,059,72059,21481,21481,1.0
00659,72,065,72065,41953,41953,1.0
00660,72,067,72067,17250,17250,1.0
00662,72,071,72071,43282,43282,1.0
00664,72,073,72073,16642,16784,0.9915395614871306
00664,72,141,72141,142,16784,0.008460438512869399
00667,72,079,72079,25684,25968,0.9890634627233518
00667,72,125,72125,284,25968,0.010936537276648183
00669,72,081,72081,29512,29744,0.992200107584723
00669,72,083,72083,184,29744,0.006186121570736955
00669,72,131,72131,48,29744,0.0016137708445400753
00670,72,011,72011,110,9807,0.011216478025899868
00670,72,083,72083,9697,9807,0.9887835219741001
00674,72,091,72091,43785,44457,0.9848842701936703
00674,72,145,72145,672,44457,0.015115729806329713
00676,72,003,72003,207,40316,0.005134437940271852
00676,72,099,72099,40109,40316,0.9948655620597281
00677,72,003,72003,72,15272,0.004714510214772132
00677,72,117,72117,15200,15272,0.9952854897852279
00678,72,071,72071,1492,27819,0.053632409504295625
00678,72,115,72115,25919,27819,0.9317013551888996
00678,72,131,72131,408,27819,0.014666235306804701
00680,72,011,72011,265,58140,0.00455796353629171
00680,72,097,72097,56404,58140,0.970141038871689
00680,72,125,72125,1471,58140,0.025300997592019262
00682,72,097,72097,32615,32615,1.0
00683,72,125,72125,33772,33772,1.0
00685,72,071,72071,857,42831,0.020008872078634634
00685,72,131,72131,41974,42831,0.9799911279213653
00687,72,101,72101,32610,32610,1.0
00688,72,013,72013,13543,13543,1.0
00690,72,005,72005,6255,6255,1.0
00692,72,143,72143,37511,37511,1.0
00693,72,143,72143,2397,61038,0.03927061830335201
00693,72,145,72145,58641,61038,0.960729381696648
00694,72,145,72145,328,328,1.0
00698,72,059,72059,100,41782,0.0023933751376190703
00698,72,153,72153,41682,41782,0.9976066248623809
00703,72,007,72007,27310,28605,0.9547281943716134
00703,72,045,72045,1295,28605,0.04527180562838665
00704,72,057,72057,662,8577,0.07718316427655357
00704,72,123,72123,7915,8577,0.9228168357234464
00705,72,009,72009,25543,25598,0.9978513946402062
00705,72,043,72043,55,25598,0.002148605359793734
00707,72,095,72095,12225,12225,1.0
00714,72,015,72015,19566,19566,1.0
00715,72,075,72075,941,3656,0.2573851203501094
00715,72,113,72113,2715,3656,0.7426148796498906
00716,72,113,72113,33779,33779,1.0
00717,72,113,72113,18457,18457,1.0
00718,72,103,72103,26606,26606,1.0
