USAFacts Chart Data,
"Downloaded on February 23, 2026 from:",
https://usafacts.org/answers/how-many-people-are-on-medicaid-in-the-us/country/united-states/,
Visit the URL for more information about sources and methods.,
,
"Title: In FY 2022, children and adults without dependent children accounted for more than half of all Medicaid enrollees.",
"Subtitle: Average monthly Medicaid enrollment, by eligibility group",
Data sourced from: Centers for Medicare & Medicaid Services; Medicaid and CHIP Payment and Access Commission,
Type,Medicaid enrollment
Children,33693945
"Other adults, primarily without dependent children",24677573
"Pregnant women, parents and caretakers",17021920
People with disabilities,9460584
Seniors (age 65 and older),9045869
