state,nonmedicaid_rx,nonmedicaid_new_rx,nonmedicaid_qty,medicaid_rx,medicaid_new_rx,medicaid_qty,total_rx,pct_medicaid,state_name,total_overdose_deaths,total_pop_years,avg_annual_overdose_rate,overdose_rate_per_100k,aca_expansion
WV,41316905.406,33346895.464,2563108789.336,3233336.471,2758856.421,203943508.418,44550241.877000004,7.26,West Virginia,7284,20253405,36.04209090909091,35.96,True
KY,94545707.963,77207912.26,5579628544.865,2529780.907,2189376.178,152376615.198,97075488.87,2.61,Kentucky,12929,48289499,26.708454545454547,26.77,True
OH,193814232.558,165226893.677,11731299065.84,5937680.37,5324597.505,348546975.375,199751912.928,2.97,Ohio,32025,127410785,25.092181818181817,25.14,True
NM,24679644.655,21418696.33,1505733822.736,274591.633,256760.79,14483803.643,24954236.288000003,1.1,New Mexico,5655,22794886,24.805818181818186,24.81,True
PA,182754531.651,156755468.517,11160315781.443,2814260.578,2526289.484,175286211.722,185568792.229,1.52,Pennsylvania,34184,140248281,24.34254545454546,24.37,True
RI,15402001.176,12919146.441,832307431.724,252541.054,229744.96,14882903.418,15654542.23,1.61,Rhode Island,2734,11599172,23.55918181818182,23.57,True
DE,13231798.591,11740693.604,835457939.747,1097715.695,1014341.172,66838727.825,14329514.286,7.66,Delaware,2348,10186237,22.818545454545454,23.05,True
DC,7963319.214,7075501.186,410062424.723,333984.605,306511.195,18336022.229,8297303.819,4.03,District of Columbia,1617,7079673,22.215090909090907,22.84,True
NH,16677091.164,14937538.241,915106217.304,696982.157,654962.793,41186218.845,17374073.321000002,4.01,New Hampshire,3298,14602318,22.503090909090908,22.59,True
MA,77785442.97,69769896.687,4488148078.379,3605009.096,3360853.714,226153760.84,81390452.066,4.43,Massachusetts,16176,73574290,21.819454545454548,21.99,True
NV,42065687.451,35718274.381,3084081223.821,1268422.331,1159871.429,105927329.87,43334109.782,2.93,Nevada,6812,31013668,21.93163636363636,21.96,True
