state,zip_code,total_rx,new_rx,total_qty,new_qty,avg_mme_per_unit,total_mme,medicaid_rx,medicaid_new_rx,medicaid_qty,medicaid_total_mme,distinct_prescribers,distinct_opioid_products,retail_rx,mail_order_rx,year
AA,34004,2.054,2.054,130.54,130.54,0.6942699555691741,90.63,0.0,0.0,0.0,0.0,1,2,2.054,0.0,2017
AA,34099,329.013,310.656,20365.458,18929.179,6.244658308200091,127175.3265,4.458,4.458,644.24,2198.685,3,61,329.013,0.0,2017
AE,09005,3.0,3.0,86.0,86.0,5.0,430.0,0.0,0.0,0.0,0.0,1,1,3.0,0.0,2017
AE,09009,4.23,3.132,298.52,265.59,10.973251373442315,3275.735,0.0,0.0,0.0,0.0,2,4,4.23,0.0,2017
AE,09012,5.032,5.032,56.3,56.3,9.098579040852576,512.25,0.0,0.0,0.0,0.0,1,3,5.032,0.0,2017
AE,09033,223.155,223.155,4765.68,4765.68,7.816993587483843,37253.29,9.359,9.359,270.9,2596.405,2,34,223.155,0.0,2017
AE,09042,95.211,95.211,3649.3,3649.3,7.209847477598443,26310.8964,0.0,0.0,0.0,0.0,1,12,95.211,0.0,2017
AE,09067,27.203,27.203,1447.95,1447.95,4.62667564487724,6699.195,0.0,0.0,0.0,0.0,1,4,27.203,0.0,2017
AE,09090,13.809,10.809,572.08,422.08,4.92935428611383,2819.985,0.0,0.0,0.0,0.0,1,4,13.809,0.0,2017
AE,09094,1.0,1.0,10.0,10.0,7.5,75.0,0.0,0.0,0.0,0.0,1,1,1.0,0.0,2017
AE,09096,912.25,862.474,49525.627,46972.847,6.29323173435038,311676.2475,0.0,0.0,0.0,0.0,2,49,911.25,1.0,2017
AE,09102,661.869,592.28,38735.207,32604.507,7.263410454989953,281349.7075,1.0,1.0,60.0,300.0,4,65,661.869,0.0,2017
AE,09112,822.204,821.204,32856.927,32846.927,4.877312324430097,160253.495,5.098,5.098,234.58,848.0718,3,36,822.204,0.0,2017
AE,09123,54.759,54.759,3142.67,3142.67,8.351230800561305,26245.1625,0.0,0.0,0.0,0.0,2,16,53.759,1.0,2017
AE,09126,158.149,158.149,1755.029,1755.029,5.104226197971657,8958.065,37.735,37.735,481.77,2395.32,3,14,158.149,0.0,2017
AE,09137,822.733,749.035,44242.66,40189.46,10.86764135904125,480813.36165,63.391,63.391,3292.29,17456.12,3,65,815.733,7.0,2017
AE,09139,67.894,67.894,1096.69,1096.69,7.128668994884607,7817.94,0.0,0.0,0.0,0.0,1,9,67.894,0.0,2017
AE,09173,1.081,1.081,43.23,43.23,5.0,216.15,0.0,0.0,0.0,0.0,1,1,1.081,0.0,2017
AE,09180,1413.911,1390.002,57892.241,56576.482,6.829946071702424,395400.884,38.701,38.701,844.05,5394.7375,19,87,1412.911,1.0,2017
AE,09226,196.129,189.034,9207.909,8393.769,5.759283676674042,53030.96,3.031,3.031,149.77,748.85,1,32,196.129,0.0,2017
AE,09421,1.0,1.0,60.0,60.0,5.0,300.0,0.0,0.0,0.0,0.0,1,1,1.0,0.0,2017
AE,09459,4.671,4.671,392.78,392.78,7.5,2945.85,0.0,0.0,0.0,0.0,1,3,4.671,0.0,2017
AE,09461,3.302,3.302,18.03,18.03,6.240987243483084,112.525,0.0,0.0,0.0,0.0,1,2,3.302,0.0,2017
AE,09464,397.189,397.189,17755.409,17755.409,6.25544498580686,111067.9842,7.429,7.429,287.99,1672.525,3,41,397.189,0.0,2017
AE,09593,156.031,154.031,4495.47,4315.47,6.87637750891453,30912.5488,4.13,4.13,144.16,714.6,5,21,156.031,0.0,2017
AE,09602,1080.646,1000.253,60256.527,54897.377,10.00956908784338,603141.87,1.0,1.0,30.0,150.0,3,62,1080.646,0.0,2017
AE,09604,52.44,52.44,807.82,807.82,5.18691663984551,4190.095,1.0,1.0,10.0,50.0,2,8,52.44,0.0,2017
AE,09613,1.339,1.339,53.55,53.55,5.0,267.75,0.0,0.0,0.0,0.0,1,1,1.339,0.0,2017
