active_ingredient,is_medicaid,total_rx,total_qty,avg_mme
hydrocodone,Non-Medicaid,2015088080.202,108126128023.481,7.524059055468924
oxycodone,Non-Medicaid,783339340.413,54527533286.003,22.721037901606422
tramadol,Non-Medicaid,505909708.397,38067951721.756996,9.536350148367953
codeine,Non-Medicaid,387911250.204,19288608910.693,4.503694606664376
propoxyphene,Non-Medicaid,333937556.273,16436589463.73,17.799156035328753
morphine,Non-Medicaid,109006697.124,8146584299.575,33.77133294528522
fentanyl,Non-Medicaid,82871419.628,1089620735.114,195.71020833333336
hydrocodone,Medicaid,73314288.319,4000288744.786,8.476619879969993
methadone,Non-Medicaid,52809213.936,7533464320.3289995,39.532758620689656
oxycodone,Medicaid,37169051.868,2595687927.659,23.821578815261045
hydromorphone,Non-Medicaid,36405276.655,3051726475.4,33.96520298260149
meperidine,Non-Medicaid,22741209.261,740951377.248,6.029354207436399
tramadol,Medicaid,21089503.14,1458087934.046,11.73155737704918
codeine,Medicaid,13254897.567,760638922.838,4.186461038961039
butorphanol,Non-Medicaid,11442954.663999999,47502126.127,25.39938080495356
oxymorphone,Non-Medicaid,10158705.742,719153629.249,39.00787401574803
pentazocine,Non-Medicaid,9247538.357,505634280.047,5.529978354978355
dextropropoxyphene,Non-Medicaid,8856894.119,598313384.592,15.54089430894309
tapentadol,Non-Medicaid,6758561.748,487970336.056,47.142857142857146
morphine,Medicaid,5024969.227,356583472.064,49.730089285714286
buprenorphine,Non-Medicaid,4333051.606,47310176.39,63.11413043478261
propoxyphene,Medicaid,2939492.762,131012425.205,19.519333333333336
methadone,Medicaid,2290631.092,335686652.629,29.791044776119403
fentanyl,Medicaid,2260890.752,26643725.719,246.38299039780523
hydromorphone,Medicaid,1689980.8329999999,132671599.141,26.153846153846153
dihydrocodeine,Non-Medicaid,1545808.291,57929804.744,4.67741935483871
nalbuphine,Non-Medicaid,877212.5430000001,25453725.612,14.962962962962964
oxymorphone,Medicaid,570768.752,37871352.067,42.838078291814945
meperidine,Medicaid,334999.863,8907802.492,6.602822580645161
opium,Non-Medicaid,244192.692,26028597.254,10.0
levorphanol,Non-Medicaid,213143.24,27782870.053,22.0
buprenorphine,Medicaid,196976.103,1378290.911,89.29838709677419
tapentadol,Medicaid,169077.22,13768710.917,47.142857142857146
butorphanol,Medicaid,107244.662,413262.55700000003,38.54545454545455
pentazocine,Medicaid,95763.252,5542590.983,4.39375
dextropropoxyphene,Medicaid,67937.807,4852789.792,14.95
nalbuphine,Medicaid,9231.77,403672.317,15.0
opium,Medicaid,6874.297,693392.2999999999,10.0
levorphanol,Medicaid,3234.9089999999997,396400.49700000003,22.0
dihydrocodeine,Medicaid,1504.143,71971.099,5.454545454545454
