index,year,is_medicaid,total_rx,new_rx,total_qty,avg_mme
0,1997,Non-Medicaid,138944733.371,109087378.131,5837391119.658999,10.981286774719877
1,1998,Non-Medicaid,148428304.361,117339859.29000002,6379070037.814,11.208801675579853
2,1999,Non-Medicaid,160250100.94399998,127030057.683,7105689438.315001,11.590030242859505
3,2000,Non-Medicaid,169433693.30299997,136424638.546,7802581766.215,12.216785345343746
4,2001,Non-Medicaid,178601714.078,143993910.31,8550465788.870999,12.849226989758872
5,2002,Non-Medicaid,189174684.345,153207960.62,9434989975.193,13.229024846300733
6,2003,Non-Medicaid,198596263.088,160915444.387,10419578122.078,13.705547630082805
7,2004,Non-Medicaid,208032513.48300004,169910585.218,11349967001.506,14.099879469739683
8,2005,Non-Medicaid,213781826.06800002,177877304.523,11941806012.744999,13.992711995370776
9,2006,Non-Medicaid,225883837.874,188777597.77,13039286894.537003,14.204907402859659
10,2007,Non-Medicaid,237426025.43,199150978.51199996,14098096425.856998,14.375730037129246
11,2008,Medicaid,18583365.643,16224806.419,1115403418.72,13.481131975738448
12,2008,Non-Medicaid,227572349.68,190371488.45700002,14048273699.761,14.46202621013143
13,2009,Medicaid,20129095.226000004,17706148.221,1222703441.882,13.226123488761688
14,2009,Non-Medicaid,231322650.37200004,194190666.55900002,14754266940.946,14.503744471881296
15,2010,Medicaid,24023362.852,21277888.269,1476777956.782,13.051112425962227
16,2010,Non-Medicaid,234363813.51700002,198029817.748,15408979083.677998,14.75204732987342
17,2011,Medicaid,22875955.928000003,20343835.754,1442202165.684,12.711167891590419
18,2011,Non-Medicaid,236307004.625,200699868.033,15896730307.095999,14.099800980681675
19,2012,Medicaid,16931902.881,15066500.456999999,1061987327.409,12.469922717703984
20,2012,Non-Medicaid,244685097.81300002,207052047.079,16442237057.336998,13.547921326865543
21,2013,Medicaid,13761303.149,12278395.323,862327659.4559999,12.502630665745823
22,2013,Non-Medicaid,239137137.899,203268136.57699996,16118139911.806,13.353073380521087
23,2014,Medicaid,13525447.28,12352933.705,824266633.349,12.400031086688044
24,2014,Non-Medicaid,231894089.414,203146984.033,15609256034.453001,13.346294004230778
25,2015,Medicaid,11271444.324000001,10869564.212,685129543.9419999,12.62964504344025
26,2015,Non-Medicaid,217247539.574,204868354.194,14748633656.390999,13.467005365577174
27,2016,Medicaid,9563449.382,9215294.008000001,581379505.881,12.676174249320242
28,2016,Non-Medicaid,207287491.519,195140440.019,14101868812.077,13.33030911007982
29,2017,Medicaid,7805454.006,7505109.251,470717306.48300004,12.56504989436245
30,2017,Non-Medicaid,189011463.90899998,177663138.956,12755573549.498001,12.99598399513672
31,2018,Medicaid,2146930.074,2058272.5230000003,129672528.782,12.452955248037272
32,2018,Non-Medicaid,56949862.910000004,53454154.647,3773891523.1099997,12.772220642822417
