payor_plan_id,payor_plan,payor_plan_var
20002,MEDICAID ALABAMA (AL),
20003,MEDICAID ALASKA (AK),
20004,MEDICAID ARIZONA (AZ),
20005,MEDICAID ARKANSAS (AR),
20006,MEDICAID CALIFORNIA (CA),
20007,MEDICAID COLORADO (CO),
20008,MEDICAID CONNECTICUT (CT),
20009,MEDICAID DELAWARE (DE),
20010,MEDICAID FLORIDA (FL),
20011,MEDICAID GEORGIA (GA),
20012,MEDICAID HAWAII (HI),
20013,MEDICAID IDAHO (ID),
20014,MEDICAID ILLINOIS (IL),
20015,MEDICAID INDIANA (IN),
20016,MEDICAID IOWA (IA),
20017,MEDICAID KANSAS (KS),
20018,MEDICAID KENTUCKY (KY),
20019,MEDICAID LOUISIANA (LA),
20020,MEDICAID MAINE (ME),
20021,MEDICAID MARYLAND (MD),
20022,MEDICAID MASSACHUSETTS (MA),
20023,MEDICAID MICHIGAN (MI),
20024,MEDICAID MINNESOTA (MN),
20025,MEDICAID MISSISSIPPI (MS),
20026,MEDICAID MISSOURI (MO),
20027,MEDICAID MONTANA (MT),
20028,MEDICAID NEBRASKA (NE),
20029,MEDICAID NEVADA (NV),
20030,MEDICAID NEW HAMPSHIRE (NH),
20031,MEDICAID NEW JERSEY (NJ),
20032,MEDICAID NEW MEXICO (NM),
20033,MEDICAID NEW YORK (NY),
20034,MEDICAID NORTH CAROLINA (NC),
20035,MEDICAID NORTH DAKOTA (ND),
20036,MEDICAID OHIO (OH),
20037,MEDICAID OKLAHOMA (OK),
20038,MEDICAID OREGON (OR),
20039,MEDICAID PENNSYLVANIA (PA),
20040,MEDICAID PUERTO RICO (PR),
20041,MEDICAID RHODE ISLAND (RI),
20042,MEDICAID SOUTH CAROLINA (SC),
20043,MEDICAID SOUTH DAKOTA (SD),
20044,MEDICAID TENNESSEE (TN),
20045,MEDICAID TEXAS (TX),
20046,MEDICAID UTAH (UT),
20047,MEDICAID VERMONT (VT),
20048,MEDICAID VIRGINIA (VA),
20049,MEDICAID WASHINGTON (WA),
20050,MEDICAID WASHINGTON DC (DC),
20051,MEDICAID WEST VIRGINIA (WV),
20052,MEDICAID WISCONSIN (WI),
20053,MEDICAID WYOMING (WY),
29999,MEDICAID UNSPECIFIED,
2310003,PRIORITY HEALTH MEDICAID (MI),
2360002,ROCKY MOUNTAIN MEDICAID (CO),
2830003,TOTAL HEALTH CARE MEDICAID (MI),
2930007,MVP MEDICAID (NY),
3710010,PREFERRED MEDICAID PLAN (FL),
3870005,ELDERPLAN FOR MEDICAID (NY),
4560823,COVENTRY MEDICAID GENERAL,
5490006,MEDICAID CHOICE (CO),
6141165,SIMPLY HEALTHCARE MEDICAID (FL),
7210002,PRIORITY PARTNERS MEDICAID (MD),
8670039,HIP MEDICAID (NY),
9150024,SANFORD HLTH PLAN MEDICAID (ND),
9740021,CDPHP MEDICAID GENERAL (NY),
9790001,JAI MEDICAL SYS MEDICAID (MD),
10630049,EXCELLUS MGD MEDICAID GENERAL,
12790022,BLUECHOICE HLTH PLN MEDICAID(SC),
15580110,MEDICA MEDICAID GENERAL (MN),
20740017,FREEDOM 1ST MEDICAID (FL),
