payor_plan,variant_count,row_count
SIMPLY EXTRA (FL),1,2
3RD PARTY UNSPEC PLAN 0001,1,1
3RD PARTY UNSPEC PLAN 0002,1,1
3RD PARTY UNSPEC PLAN 0003,1,1
3RD PARTY UNSPEC PLAN 0004,1,1
3RD PARTY UNSPEC PLAN 0007,1,1
3RD PARTY UNSPEC PLAN 0009,1,1
3RD PARTY UNSPEC PLAN 0013,1,1
3RD PARTY UNSPEC PLAN 0014,1,1
3RD PARTY UNSPEC PLAN 0015,1,1
3RD PARTY UNSPEC PLAN 0016,1,1
3RD PARTY UNSPEC PLAN 0018,1,1
3RD PARTY UNSPEC PLAN 0020,1,1
3RD PARTY UNSPEC PLAN 0023,1,1
3RD PARTY UNSPEC PLAN 0024,1,1
3RD PARTY UNSPEC PLAN 0027,1,1
3RD PARTY UNSPEC PLAN 0028,1,1
3RD PARTY UNSPEC PLAN 0029,1,1
3RD PARTY UNSPEC PLAN 0030,1,1
3RD PARTY UNSPEC PLAN 0031,1,1
3RD PARTY UNSPEC PLAN 0032,1,1
3RD PARTY UNSPEC PLAN 0033,1,1
65C PLUS HIGH OPTION SRX (HI),1,1
65C PLUS MED ADV GENERAL (HI),1,1
7-ELEVEN INC,1,1
84 LUMBER,1,1
AAA CLUB (AL),1,1
AAA CLUB (AZ),1,1
AAA CLUB (CA),1,1
AAA CLUB (CO),1,1
AAA CLUB (CT),1,1
AAA CLUB (DC),1,1
AAA CLUB (DE),1,1
AAA CLUB (FL),1,1
AAA CLUB (GA),1,1
AAA CLUB (HI),1,1
AAA CLUB (IA),1,1
AAA CLUB (IL),1,1
AAA CLUB (IN),1,1
AAA CLUB (KS),1,1
AAA CLUB (KY),1,1
AAA CLUB (LA),1,1
AAA CLUB (MA),1,1
AAA CLUB (MD),1,1
AAA CLUB (ME),1,1
AAA CLUB (MI),1,1
AAA CLUB (MN),1,1
AAA CLUB (MO),1,1
AAA CLUB (MS),1,1
AAA CLUB (MT),1,1
AAA CLUB (NC),1,1
AAA CLUB (ND),1,1
AAA CLUB (NE),1,1
AAA CLUB (NH),1,1
AAA CLUB (NJ),1,1
AAA CLUB (NM),1,1
AAA CLUB (NV),1,1
AAA CLUB (NY),1,1
AAA CLUB (OH),1,1
AAA CLUB (OK),1,1
AAA CLUB (OR),1,1
