payor_plan_id,payor_plan,payor_plan_var
16250001,3M COMPANY,
31210001,3RD PARTY UNSPEC PLAN 0001,
31210002,3RD PARTY UNSPEC PLAN 0002,
31210003,3RD PARTY UNSPEC PLAN 0003,
31210004,3RD PARTY UNSPEC PLAN 0004,
31210007,3RD PARTY UNSPEC PLAN 0007,
31210009,3RD PARTY UNSPEC PLAN 0009,
31210013,3RD PARTY UNSPEC PLAN 0013,
31210014,3RD PARTY UNSPEC PLAN 0014,
31210015,3RD PARTY UNSPEC PLAN 0015,
31210016,3RD PARTY UNSPEC PLAN 0016,
31210018,3RD PARTY UNSPEC PLAN 0018,
31210020,3RD PARTY UNSPEC PLAN 0020,
31210023,3RD PARTY UNSPEC PLAN 0023,
31210024,3RD PARTY UNSPEC PLAN 0024,
31210027,3RD PARTY UNSPEC PLAN 0027,
31210028,3RD PARTY UNSPEC PLAN 0028,
31210029,3RD PARTY UNSPEC PLAN 0029,
31210030,3RD PARTY UNSPEC PLAN 0030,
31210031,3RD PARTY UNSPEC PLAN 0031,
31210032,3RD PARTY UNSPEC PLAN 0032,
31210033,3RD PARTY UNSPEC PLAN 0033,
12620009,65C PLUS HIGH OPTION SRX (HI),
12620014,65C PLUS MED ADV GENERAL (HI),
14760001,7-ELEVEN INC,
19240001,84 LUMBER,
6270001,AAA CLUB (AL),
6270003,AAA CLUB (AZ),
6270005,AAA CLUB (CA),
6270006,AAA CLUB (CO),
6270007,AAA CLUB (CT),
6270009,AAA CLUB (DC),
6270008,AAA CLUB (DE),
6270046,AAA CLUB (FL),
6270010,AAA CLUB (GA),
6270011,AAA CLUB (HI),
6270015,AAA CLUB (IA),
6270013,AAA CLUB (IL),
6270014,AAA CLUB (IN),
6270048,AAA CLUB (KS),
6270016,AAA CLUB (KY),
6270049,AAA CLUB (LA),
6270019,AAA CLUB (MA),
6270018,AAA CLUB (MD),
6270017,AAA CLUB (ME),
6270050,AAA CLUB (MI),
6270020,AAA CLUB (MN),
6270022,AAA CLUB (MO),
6270021,AAA CLUB (MS),
6270023,AAA CLUB (MT),
6270030,AAA CLUB (NC),
6270031,AAA CLUB (ND),
6270024,AAA CLUB (NE),
6270026,AAA CLUB (NH),
6270027,AAA CLUB (NJ),
6270028,AAA CLUB (NM),
6270025,AAA CLUB (NV),
6270029,AAA CLUB (NY),
6270032,AAA CLUB (OH),
6270033,AAA CLUB (OK),
6270051,AAA CLUB (OR),
6270034,AAA CLUB (PA),
6270052,AAA CLUB (RI),
6270035,AAA CLUB (SC),
6270053,AAA CLUB S CA (CA),
6270036,AAA CLUB (SD),
6270037,AAA CLUB (TN),
6270038,AAA CLUB (TX),
6279999,AAA CLUB UNSPECIFIED,
6270041,AAA CLUB (VA),
6270040,AAA CLUB (VT),
6270042,AAA CLUB (WA),
6270044,AAA CLUB (WI),
6270043,AAA CLUB (WV),
6270045,AAA CLUB (WY),
6270047,AAA PRESCRIPT SAVINGS CARD,
36780001,AAF INTL,
26760001,AAM HOLDING INC,
15700001,AARP HEALTH CARE OPTIONS-ESI,
15700060,AARP HEALTH CARE OPTIONS-OTHER,
24290511,AARP MEDCRCOMP 1 (AZ),
24290544,AARP MEDCRCOMP 1 GAP (WA),
24290539,AARP MEDCRCOMP 1 (OR),
24291190,AARP MEDCRCOMP FOCUS (TX),
24290684,AARP MEDCRCOMP MOSAIC (NY),
24290537,AARP MEDCRCOMP (NV),
24290538,AARP MEDCRCOMP (OK),
24290328,AARP MEDCRCOMP PLUS 1 (WA),
24290545,AARP MEDCRCOMP PLUS (CT),
15700002,AARP MEDICARE DISCOUNT CARD,
24290614,AARP MED PDP GENERAL,
24290557,AARP MED PDP GENERAL (AK),
24290558,AARP MED PDP GENERAL (AL),
24290560,AARP MED PDP GENERAL (AR),
24290561,AARP MED PDP GENERAL (AZ),
24290562,AARP MED PDP GENERAL (CA),
24290564,AARP MED PDP GENERAL (CO),
24290565,AARP MED PDP GENERAL (CT),
24290567,AARP MED PDP GENERAL (DC),
24290568,AARP MED PDP GENERAL (DE),
24290569,AARP MED PDP GENERAL (FL),
24290570,AARP MED PDP GENERAL (GA),
24290571,AARP MED PDP GENERAL (HI),
24290572,AARP MED PDP GENERAL (IA),
24290573,AARP MED PDP GENERAL (ID),
24290574,AARP MED PDP GENERAL (IL),
24290575,AARP MED PDP GENERAL (IN),
24290576,AARP MED PDP GENERAL (KS),
24290578,AARP MED PDP GENERAL (KY),
24290579,AARP MED PDP GENERAL (LA),
24290580,AARP MED PDP GENERAL (MA),
24290581,AARP MED PDP GENERAL (MD),
24290582,AARP MED PDP GENERAL (ME),
24290583,AARP MED PDP GENERAL (MI),
24290584,AARP MED PDP GENERAL (MN),
24290585,AARP MED PDP GENERAL (MO),
24290586,AARP MED PDP GENERAL (MS),
24290587,AARP MED PDP GENERAL (MT),
24290588,AARP MED PDP GENERAL (NC),
24290589,AARP MED PDP GENERAL (ND),
24290590,AARP MED PDP GENERAL (NE),
24290591,AARP MED PDP GENERAL (NH),
24290592,AARP MED PDP GENERAL (NJ),
24290593,AARP MED PDP GENERAL (NM),
24290594,AARP MED PDP GENERAL (NV),
